model,document,source,target,relation,model_name,provider,source_type,target_type,source_is_seed,target_is_seed,edge_scope,mean_confidence,passes,chunks,chunk_ids,evidence,evidence_match_rate,edge_key,model_count,models,occurrences
arc_apex,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,Civil Rights Movement,Jeanne Theoharis,associated_with,arc:apex,kcl,movement,person,False,False,discovered_discovered,0.8,second_pass,2,second_pass_doc_02_chunk_0002,the influential anthology edited by Jeanne Theoharis and Komozi Woodard,1.0,Civil Rights Movement | associated_with | Jeanne Theoharis,1,arc_apex,3
arc_apex,Hughes,Civil Rights Movement,Jeanne Theoharis,associated_with,arc:apex,kcl,movement,person,False,False,discovered_discovered,0.8,second_pass,7,second_pass_doc_03_chunk_0007,"As historian Jeanne Theoharis (2018: xiv) contends, how we conceptualise the history of the civil rights movement",1.0,Civil Rights Movement | associated_with | Jeanne Theoharis,1,arc_apex,3
arc_apex,JAS - MLK teaching UK schools,Civil Rights Movement,Jeanne Theoharis,associated_with,arc:apex,kcl,movement,person,False,False,discovered_discovered,0.9,second_pass,26,second_pass_doc_05_chunk_0026,"Jeanne Theoharis, ""Hidden in Plain Sight: The Civil Rights Movement outside the South""",0.0,Civil Rights Movement | associated_with | Jeanne Theoharis,1,arc_apex,3
arc_apex,A fight for racial equality in Florida,Brooklyn,Congress of Racial Equality,associated_with,arc:apex,kcl,place,organisation,False,True,seed_discovered,0.9,second_pass,23,second_pass_doc_01_chunk_0023,the Brooklyn branch of CORE,1.0,Brooklyn | associated_with | Congress of Racial Equality,1,arc_apex,2
arc_apex,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,Brooklyn,Congress of Racial Equality,associated_with,arc:apex,kcl,place,organisation,False,True,seed_discovered,0.825,second_pass,12; 13,second_pass_doc_02_chunk_0012; second_pass_doc_02_chunk_0013,The Congress of Racial Equality in Brooklyn,1.0,Brooklyn | associated_with | Congress of Racial Equality,1,arc_apex,2
arc_apex,Hughes,Black Power Movement,Civil Rights Movement,associated_with,arc:apex,kcl,movement,movement,False,False,discovered_discovered,0.7,second_pass,8,second_pass_doc_03_chunk_0008,the positive contributions of the Black Power movement,1.0,Black Power Movement | associated_with | Civil Rights Movement,1,arc_apex,2
arc_apex,Hughes,I Have a Dream speech,Martin Luther King Jr.,associated_with,arc:apex,kcl,publication,person,False,True,seed_discovered,0.9,second_pass,14,second_pass_case_merge_fix_doc_03_chunk_0014,King's 'I have a dream' speech in 1963,0.0,I Have a Dream speech | associated_with | Martin Luther King Jr.,1,arc_apex,2
arc_apex,Hughes,Martin Luther King Jr.,Poor People's Campaign,associated_with,arc:apex,kcl,person,campaign,True,False,seed_discovered,0.7,second_pass,26,second_pass_doc_03_chunk_0026,King and the Other America: The poor people's campaign and the quest for economic equality,1.0,Martin Luther King Jr. | associated_with | Poor People's Campaign,1,arc_apex,2
arc_apex,JAS - MLK teaching UK schools,Black Panther Party,Black Power Movement,associated_with,arc:apex,kcl,organisation,movement,False,False,discovered_discovered,0.8,second_pass,25,second_pass_doc_05_chunk_0025,"Black Power is often reduced to symbols associated with its advocacy of self-defense (i.e., the Black Panthers)",0.0,Black Panther Party | associated_with | Black Power Movement,1,arc_apex,2
arc_apex,JAS - MLK teaching UK schools,Civil Rights Movement,Rosa Parks,associated_with,arc:apex,kcl,movement,person,False,True,seed_discovered,0.75,second_pass,16,second_pass_doc_05_chunk_0016,That even Rosa Parks remains unnamed in this summary exemplifies not only a wider pattern of neglecting or marginalizing the role of women in histories of the movement,0.0,Civil Rights Movement | associated_with | Rosa Parks,1,arc_apex,2
arc_apex,JAS - MLK teaching UK schools,I Have a Dream speech,Martin Luther King Jr.,associated_with,arc:apex,kcl,publication,person,False,True,seed_discovered,0.95,second_pass,10,second_pass_case_merge_fix_doc_05_chunk_0010,"King's seventeen-minute ""I Have a Dream"" speech attracts far more attention",1.0,I Have a Dream speech | associated_with | Martin Luther King Jr.,1,arc_apex,2
arc_apex,JAS - MLK teaching UK schools,Martin Luther King Jr.,Poor People's Campaign,associated_with,arc:apex,kcl,person,campaign,True,False,seed_discovered,0.7,second_pass,24,second_pass_doc_05_chunk_0024,King and the Other America: The Poor People's Campaign and the Quest for Economic Equality,1.0,Martin Luther King Jr. | associated_with | Poor People's Campaign,1,arc_apex,2
arc_apex,M12_Frost,Civil Rights Movement,Ella Baker,associated_with,arc:apex,kcl,movement,person,False,True,seed_discovered,0.825,second_pass,5; 8,second_pass_doc_06_chunk_0005; second_pass_doc_06_chunk_0008,"including other individual figures such as Du Bois, Booker T. Washington and Ella Baker instead of just King alone || long-time activist Ella Baker",1.0,Civil Rights Movement | associated_with | Ella Baker,1,arc_apex,2
arc_apex,MorrisAnnRev1999CRM,Civil Rights Movement,Ella Baker,associated_with,arc:apex,kcl,movement,person,False,True,seed_discovered,0.825,second_pass,25; 26,second_pass_doc_08_chunk_0025; second_pass_doc_08_chunk_0026,"civil rights activity were not unlike those of countless Black women such as Ella Baker || countless Black women such as Ella Baker, Septima Clark, Fannie Lou Hammer",1.0,Civil Rights Movement | associated_with | Ella Baker,1,arc_apex,2
arc_apex,MorrisAnnRev1999CRM,Civil Rights Movement,Rosa Parks,associated_with,arc:apex,kcl,movement,person,False,True,seed_discovered,0.875,second_pass,25; 26,second_pass_doc_08_chunk_0025; second_pass_doc_08_chunk_0026,Parks' resistance and civil rights activity || Rosa Parks is known as the mother of the civil rights movement,0.5,Civil Rights Movement | associated_with | Rosa Parks,1,arc_apex,2
arc_apex,The Black Power Movement  A historiographical understanding of how scholarship has shaped the legacy of the Black Power Movement,Black Panther Party,Black Power Movement,associated_with,arc:apex,kcl,organisation,movement,False,False,discovered_discovered,0.75,second_pass,5; 8; 9,second_pass_doc_10_chunk_0005; second_pass_doc_10_chunk_0008; second_pass_doc_10_chunk_0009,"Black Power Movement groups were demonized using imagery that portrayed Black characters as radical || legacy of ""radicaliz- ing"" groups such as the BPP, Nation of Islam (NOI), and the Black Liberation Army (BLA)... helps explain the legacies left behind from the Black Power movement || the pattern of Panther activity is designed to undermine our institution",0.6666666666666666,Black Panther Party | associated_with | Black Power Movement,1,arc_apex,2
arc_apex,The Black Power Movement  A historiographical understanding of how scholarship has shaped the legacy of the Black Power Movement,Black Power Movement,Civil Rights Movement,associated_with,arc:apex,kcl,movement,movement,False,False,discovered_discovered,0.7000000000000001,second_pass,2; 5; 8,second_pass_doc_10_chunk_0002; second_pass_doc_10_chunk_0005; second_pass_doc_10_chunk_0008,"This is contrary to the mainstream narrative of scholarship surrounding the Civil Rights Movement || a legacy of the Black Power Movement, which was more apt to use violence and force to create change in contrast to the civil rights protests || describing it as an extension of the Civil Rights Movement",1.0,Black Power Movement | associated_with | Civil Rights Movement,1,arc_apex,2
arc_apex,A fight for racial equality in Florida,Alvin J. Bronstein,Congress of Racial Equality,associated_with,arc:apex,kcl,person,organisation,False,True,seed_discovered,0.95,second_pass,23,second_pass_doc_01_chunk_0023,he served for nearly half a decade as general counsel to the Brooklyn branch of CORE,1.0,Alvin J. Bronstein | associated_with | Congress of Racial Equality,1,arc_apex,1
arc_apex,A fight for racial equality in Florida,Alvin J. Bronstein,Simpson,associated_with,arc:apex,kcl,person,person,False,False,discovered_discovered,0.85,second_pass,22,second_pass_doc_01_chunk_0022,He met privately with Bronstein and told him that he would 'allow attorneys' fees in any case brought under the Civil Rights Act',0.0,Alvin J. Bronstein | associated_with | Simpson,1,arc_apex,1
