model,document,source,target,relation,model_name,provider,source_type,target_type,source_is_seed,target_is_seed,edge_scope,mean_confidence,passes,chunks,chunk_ids,evidence,evidence_match_rate
arc_apex,A fight for racial equality in Florida,Alabama,Brown v. Board of Education,opposed_to,arc:apex,kcl,place,law,False,False,discovered_discovered,0.7,second_pass,4,second_pass_doc_01_chunk_0004,"In 1956, two years after Brown v. Board of Education, four southern states prevented even a single black pupil from attending a public school with Whites: Mississippi, Alabama, Georgia and Florida.",0.0
arc_apex,A fight for racial equality in Florida,Alvin J. Bronstein,Congress of Racial Equality,associated_with,arc:apex,kcl,person,organisation,False,True,seed_discovered,0.95,second_pass,23,second_pass_doc_01_chunk_0023,he served for nearly half a decade as general counsel to the Brooklyn branch of CORE,1.0
arc_apex,A fight for racial equality in Florida,Alvin J. Bronstein,Freedom Rides,associated_with,arc:apex,kcl,person,event,False,True,seed_discovered,0.85,second_pass,23,second_pass_doc_01_chunk_0023,"when some of the Brooklyn members were arrested as Freedom Riders, Bronstein went to Mississippi to defend them",1.0
arc_apex,A fight for racial equality in Florida,Alvin J. Bronstein,Ku Klux Klan,opposed_to,arc:apex,kcl,person,organisation,False,False,discovered_discovered,0.8,second_pass,22,second_pass_doc_01_chunk_0022,The judge even encouraged Bronstein to sue both the Klan and the National States Rights Party in order to stymie their members from trying to violate the new law.,1.0
arc_apex,A fight for racial equality in Florida,Alvin J. Bronstein,Simpson,associated_with,arc:apex,kcl,person,person,False,False,discovered_discovered,0.85,second_pass,22,second_pass_doc_01_chunk_0022,He met privately with Bronstein and told him that he would 'allow attorneys' fees in any case brought under the Civil Rights Act',0.0
arc_apex,A fight for racial equality in Florida,Alvin J. Bronstein,Southern Christian Leadership Conference,associated_with,arc:apex,kcl,person,organisation,False,True,seed_discovered,0.85,second_pass,17,second_pass_doc_01_chunk_0017,"In attracting lawyers like Kunstler and Alvin J. Bronstein to assist Simon, the SCLC campaign",1.0
arc_apex,A fight for racial equality in Florida,Alvin J. Bronstein,Southern Christian Leadership Conference,collaborated_with,arc:apex,kcl,person,organisation,False,True,seed_discovered,0.9,second_pass,23,second_pass_doc_01_chunk_0023,In August 1964 he filed lawsuits on behalf of the SCLC,1.0
arc_apex,A fight for racial equality in Florida,Alvin J. Bronstein,St Augustine,associated_with,arc:apex,kcl,person,place,False,False,discovered_discovered,0.925,second_pass,23; 25,second_pass_doc_01_chunk_0023; second_pass_doc_01_chunk_0025,"By helping to make the law applicable to St Augustine, Bronstein earned the gratitude of the movement there. || He targeted fifteen motels and restaurants in the St Augustine area and continued to monitor their compliance",1.0
arc_apex,A fight for racial equality in Florida,Alvin J. Bronstein,St Augustine,located_in,arc:apex,kcl,person,place,False,False,discovered_discovered,0.9,second_pass,22,second_pass_doc_01_chunk_0022,The LCDC assigned Bronstein to St Augustine because an experienced litigator was needed there.,1.0
arc_apex,A fight for racial equality in Florida,Alvin J. Bronstein,St Augustine,participated_in,arc:apex,kcl,person,place,False,False,discovered_discovered,0.85,second_pass,1,second_pass_doc_01_chunk_0001,the crisis attracted outside attorneys like Alvin J. Bronstein to protect the rights of protestors,1.0
arc_apex,A fight for racial equality in Florida,Alvin J. Bronstein,Tobias Simon,collaborated_with,arc:apex,kcl,person,person,False,False,discovered_discovered,0.9,second_pass,17,second_pass_doc_01_chunk_0017,Alvin J. Bronstein to assist Simon,1.0
arc_apex,A fight for racial equality in Florida,Andrew Young,Southern Christian Leadership Conference,member_of,arc:apex,kcl,person,organisation,True,True,seed_seed,0.9,second_pass,24,second_pass_doc_01_chunk_0024,Reverend Andrew Young of the SCLC,1.0
arc_apex,A fight for racial equality in Florida,Andrew Young,St Augustine,connected_to,arc:apex,kcl,person,place,True,False,seed_discovered,0.7,second_pass,24,second_pass_doc_01_chunk_0024,a biracial group that included Reverend Andrew Young of the SCLC,1.0
arc_apex,A fight for racial equality in Florida,Birmingham,Alabama,located_in,arc:apex,kcl,place,place,False,False,discovered_discovered,0.9,second_pass,13,second_pass_doc_01_chunk_0013,protests in Alabama communities like Birmingham (1963),1.0
arc_apex,A fight for racial equality in Florida,Brooklyn,Congress of Racial Equality,associated_with,arc:apex,kcl,place,organisation,False,True,seed_discovered,0.9,second_pass,23,second_pass_doc_01_chunk_0023,the Brooklyn branch of CORE,1.0
arc_apex,A fight for racial equality in Florida,Carl Rachlin,Congress of Racial Equality,associated_with,arc:apex,kcl,person,organisation,False,True,seed_discovered,0.9,second_pass,12,second_pass_doc_01_chunk_0012,attorney Carl Rachlin of CORE,1.0
arc_apex,A fight for racial equality in Florida,Carl Rachlin,Israel S. (Sy) Dresner,associated_with,arc:apex,kcl,person,person,False,False,discovered_discovered,0.85,second_pass,12,second_pass_doc_01_chunk_0012,attorney Carl Rachlin of CORE argued his case before the Supreme Court in Dresner v. City of Tallahassee,1.0
arc_apex,A fight for racial equality in Florida,Carl Rachlin,Tobias Simon,collaborated_with,arc:apex,kcl,person,person,False,False,discovered_discovered,0.9,second_pass,12,second_pass_doc_01_chunk_0012,Simon and two other Miami attorneys assisted Rachlin,1.0
arc_apex,A fight for racial equality in Florida,Civil Rights Act 1964,Lyndon Johnson,associated_with,arc:apex,kcl,law,person,False,False,discovered_discovered,0.95,second_pass,22,second_pass_doc_01_chunk_0022,President Johnson signed the Civil Rights Act on 2 July 1964.,1.0
arc_apex,A fight for racial equality in Florida,Civil Rights Act 1964,St Augustine,connected_to,arc:apex,kcl,law,place,False,False,discovered_discovered,0.7749999999999999,second_pass,1; 24,second_pass_doc_01_chunk_0001; second_pass_doc_01_chunk_0024,compliance with the Civil Rights Act was at first begrudging || the crisis in St Augustine that spring and summer served as the inescapable backdrop for the passage of the Civil Rights Act (1964),1.0
arc_apex,A fight for racial equality in Florida,Civil Rights Movement,Brown v. Board of Education,influenced_by,arc:apex,kcl,movement,law,False,False,discovered_discovered,0.9,second_pass,2,second_pass_doc_01_chunk_0002,the movement that had gained momentum in the wake of Brown v. Board of Education (1954),1.0
arc_apex,A fight for racial equality in Florida,Civil Rights Movement,Florida,associated_with,arc:apex,kcl,movement,place,False,False,discovered_discovered,0.85,second_pass,2,second_pass_doc_01_chunk_0002,this essay addresses specifically with regard to the fight in Florida,1.0
arc_apex,A fight for racial equality in Florida,Civil Rights Movement,Florida,connected_to,arc:apex,kcl,movement,place,False,False,discovered_discovered,0.85,second_pass,3,second_pass_doc_01_chunk_0003,Florida a tempting target for the Civil Rights Movement,1.0
arc_apex,A fight for racial equality in Florida,Civil Rights Movement,National Association for the Advancement of Colored People,associated_with,arc:apex,kcl,movement,organisation,False,True,seed_discovered,0.85,second_pass,3,second_pass_doc_01_chunk_0003,a civil rights organization that the legislature deemed 'subversive',0.0
arc_apex,A fight for racial equality in Florida,Civil Rights Movement,St Augustine,associated_with,arc:apex,kcl,movement,place,False,False,discovered_discovered,0.85,second_pass,25,second_pass_doc_01_chunk_0025,"Congress debated in the shadow of the 'troubles' in St Augustine. Without the inclusion of that provision, the Civil Rights Movement promised further protests.",0.0
arc_apex,A fight for racial equality in Florida,Civil Rights Movement,Tobias Simon,associated_with,arc:apex,kcl,movement,person,False,False,discovered_discovered,0.8,second_pass,11,second_pass_doc_01_chunk_0011,"Tobias Simon, 52, a lawyer in civil rights causes in 60's",1.0
arc_apex,A fight for racial equality in Florida,Congress of Racial Equality,Freedom Rides,participated_in,arc:apex,kcl,organisation,event,True,True,seed_seed,0.85,second_pass,23,second_pass_doc_01_chunk_0023,when some of the Brooklyn members were arrested as Freedom Riders,1.0
arc_apex,A fight for racial equality in Florida,Congress of Racial Equality,Tobias Simon,collaborated_with,arc:apex,kcl,organisation,person,True,False,seed_discovered,0.95,second_pass,10,second_pass_doc_01_chunk_0010,Simon quickly became one of the South's extremely few white lawyers willing to help CORE.,1.0
arc_apex,A fight for racial equality in Florida,Congress of Racial Equality,lunch counter sit-ins,participated_in,arc:apex,kcl,organisation,movement,True,False,seed_discovered,0.9,second_pass,5; 6,second_pass_doc_01_chunk_0005; second_pass_doc_01_chunk_0006,four activists from the Congress of Racial Equality (CORE) sat down at a Woolworth's lunch counter in downtown Miami || four activists from the Congress of Racial Equality (CORE) sat down at a Woolworth's lunch counter in downtown Miami and asked to be served,1.0
arc_apex,A fight for racial equality in Florida,Federal Bureau of Investigation,National Association for the Advancement of Colored People,opposed_to,arc:apex,kcl,organisation,organisation,False,True,seed_discovered,0.85,second_pass,17,second_pass_doc_01_chunk_0017,NAACP checked 25 years by the F.B.I.,1.0
arc_apex,A fight for racial equality in Florida,Florida,Brown v. Board of Education,opposed_to,arc:apex,kcl,place,law,False,False,discovered_discovered,0.7,second_pass,4,second_pass_doc_01_chunk_0004,"In 1956, two years after Brown v. Board of Education, four southern states prevented even a single black pupil from attending a public school with Whites: Mississippi, Alabama, Georgia and Florida.",0.0
arc_apex,A fight for racial equality in Florida,Florida,Tobias Simon,associated_with,arc:apex,kcl,place,person,False,False,discovered_discovered,0.8,second_pass,9; 25,second_pass_doc_01_chunk_0009; second_pass_doc_01_chunk_0025,"In Florida and elsewhere in the region, attorneys like Simon helped amplify the consent of the governed || Wherever civil rights and civil liberties were under assault in Florida, one Miami attorney was ubiquitous",0.5
arc_apex,A fight for racial equality in Florida,Freedom Rides,"Montgomery, Alabama",connected_to,arc:apex,kcl,event,place,True,False,seed_discovered,0.85,second_pass,16,second_pass_doc_01_chunk_0016,Three years earlier Coffin had been arrested as a Freedom Rider in Montgomery,1.0
arc_apex,A fight for racial equality in Florida,Howard Zinn,St Augustine,associated_with,arc:apex,kcl,person,place,False,False,discovered_discovered,0.9,second_pass,15,second_pass_doc_01_chunk_0015,"Other signatories included the historians Oscar Handlin, Arthur M. Schlesinger, Sr and Howard Zinn",1.0
arc_apex,A fight for racial equality in Florida,Israel S. (Sy) Dresner,Freedom Rides,participated_in,arc:apex,kcl,person,event,False,True,seed_discovered,0.85,second_pass,12,second_pass_doc_01_chunk_0012,"The Interfaith Freedom Riders... His colleague, Israel S. (Sy) Dresner",0.0
arc_apex,A fight for racial equality in Florida,Israel S. (Sy) Dresner,Martin Luther King Jr.,collaborated_with,arc:apex,kcl,person,person,False,True,seed_discovered,0.9,second_pass,14,second_pass_doc_01_chunk_0014,"King sent a letter to Dresner, asking him to recruit his colleagues to come to the city",1.0
arc_apex,A fight for racial equality in Florida,Israel S. (Sy) Dresner,St Augustine,located_in,arc:apex,kcl,person,place,False,False,discovered_discovered,0.85,second_pass,14,second_pass_doc_01_chunk_0014,"On 18 June, Dresner and fifteen other rabbis arrived",1.0
arc_apex,A fight for racial equality in Florida,Martin Luther King Jr.,Florida,located_in,arc:apex,kcl,person,place,True,False,seed_discovered,0.9,second_pass,14,second_pass_doc_01_chunk_0014,leave Florida,1.0
arc_apex,A fight for racial equality in Florida,Martin Luther King Jr.,Monson Motor Lodge,associated_with,arc:apex,kcl,person,place,True,False,seed_discovered,0.95,second_pass,14,second_pass_doc_01_chunk_0014,he was arrested trying to desegregate the restaurant of the Monson Motor Lodge,1.0
arc_apex,A fight for racial equality in Florida,Martin Luther King Jr.,Southern Christian Leadership Conference,associated_with,arc:apex,kcl,person,organisation,True,True,seed_seed,0.75,second_pass,14,second_pass_doc_01_chunk_0014,Smathers... suspected that the SCLC faked the attack,0.0
arc_apex,A fight for racial equality in Florida,Martin Luther King Jr.,Southern Christian Leadership Conference,leader_of,arc:apex,kcl,person,organisation,True,True,seed_seed,0.95,second_pass,1,second_pass_doc_01_chunk_0001,"the Southern Christian Leadership Conference under Martin Luther King, Jr",1.0
arc_apex,A fight for racial equality in Florida,Martin Luther King Jr.,St Augustine,associated_with,arc:apex,kcl,person,place,True,False,seed_discovered,0.85,second_pass,13,second_pass_doc_01_chunk_0013,"Someone with a shotgun fired a dozen shots into the beach home where Martin Luther King, Jr, was staying",1.0
arc_apex,A fight for racial equality in Florida,Martin Luther King Jr.,St Augustine,located_in,arc:apex,kcl,person,place,True,False,seed_discovered,0.95,second_pass,14,second_pass_doc_01_chunk_0014,returned to a cell in St Augustine,1.0
arc_apex,A fight for racial equality in Florida,Martin Luther King Jr.,St Augustine,participated_in,arc:apex,kcl,person,place,True,False,seed_discovered,0.9,second_pass,19; 20,second_pass_doc_01_chunk_0019; second_pass_doc_01_chunk_0020,Martin Luther King and 17 others jailed trying to integrate St Augus- tine restaurant || Martin Luther King and 17 others jailed trying to integrate St Augustine restaurant,0.5
arc_apex,A fight for racial equality in Florida,Martin Luther King Jr.,Tobias Simon,associated_with,arc:apex,kcl,person,person,True,False,seed_discovered,0.8,second_pass,20,second_pass_doc_01_chunk_0020,Simon told the judge that King himself graciously preferred Harris to simply recant his perjured testimony,0.0
arc_apex,A fight for racial equality in Florida,Miami,Florida,located_in,arc:apex,kcl,place,place,False,False,discovered_discovered,0.95,second_pass,5,second_pass_doc_01_chunk_0005,post-war Florida (especially its southeastern corner) differentiated the state from the rest of the region... cities like Miami,0.0
arc_apex,A fight for racial equality in Florida,Monson Motor Lodge,St Augustine,located_in,arc:apex,kcl,place,place,False,False,discovered_discovered,0.8666666666666667,second_pass,13; 14; 15,second_pass_doc_01_chunk_0013; second_pass_doc_01_chunk_0014; second_pass_doc_01_chunk_0015,All were arrested and jailed for trying to grab some lunch at Monson Motor Lodge || The manager of the Monson Motor Lodge was James Brock || he was arrested trying to desegregate the restaurant of the Monson Motor Lodge,1.0
arc_apex,A fight for racial equality in Florida,National Association for the Advancement of Colored People,Gibson v. Florida Legislative Investigation Committee,participated_in,arc:apex,kcl,organisation,law,True,False,seed_discovered,0.95,second_pass,4,second_pass_doc_01_chunk_0004,"NAACP lost. It fought back in a lawsuit to protect freedom of association, a case that the US Supreme Court decided in 1963 in Gibson v. Florida Legislative Investigation Committee. The NAACP won, barely (5–4).",0.0
arc_apex,A fight for racial equality in Florida,National Association for the Advancement of Colored People,Tobias Simon,collaborated_with,arc:apex,kcl,organisation,person,True,False,seed_discovered,0.9,second_pass,9,second_pass_doc_01_chunk_0009,he worked as a cooperating attorney with the NAACP Legal Defense and Educational Fund,0.0
arc_apex,A fight for racial equality in Florida,Roy Wilkins,National Association for the Advancement of Colored People,leader_of,arc:apex,kcl,person,organisation,False,True,seed_discovered,0.9,second_pass,3,second_pass_doc_01_chunk_0003,Executive secretary Roy Wilkins feared that 'the civil rights movement in Florida and the entire Southeast' would be imperilled if the NAACP lost.,0.0
arc_apex,A fight for racial equality in Florida,Selma,Alabama,located_in,arc:apex,kcl,place,place,False,False,discovered_discovered,0.9,second_pass,13,second_pass_doc_01_chunk_0013,protests in Alabama communities like Birmingham (1963) and Selma (1965),1.0
arc_apex,A fight for racial equality in Florida,Simpson,Ku Klux Klan,opposed_to,arc:apex,kcl,person,organisation,False,False,discovered_discovered,0.85,second_pass,22,second_pass_doc_01_chunk_0022,The judge even encouraged Bronstein to sue both the Klan and the National States Rights Party in order to stymie their members from trying to violate the new law.,1.0
arc_apex,A fight for racial equality in Florida,Simpson,Southern Christian Leadership Conference,opposed_to,arc:apex,kcl,person,organisation,False,True,seed_discovered,0.8,second_pass,18,second_pass_doc_01_chunk_0018,Simpson nevertheless ruled against the SCLC appeal,1.0
arc_apex,A fight for racial equality in Florida,Simpson,St Augustine,associated_with,arc:apex,kcl,person,place,False,False,discovered_discovered,0.8000000000000002,second_pass,1; 20; 23,second_pass_doc_01_chunk_0001; second_pass_doc_01_chunk_0020; second_pass_doc_01_chunk_0023,Judge Simpson ordered the governor as well as Attorney General James W. Kynes to appear || The conflict educated a federal judge named Bryan Simpson || no way for a white person from St Johns County to get a fair trial before Judge Simpson,1.0
arc_apex,A fight for racial equality in Florida,Simpson,St Augustine,connected_to,arc:apex,kcl,person,place,False,False,discovered_discovered,0.7749999999999999,second_pass,21; 22,second_pass_doc_01_chunk_0021; second_pass_doc_01_chunk_0022,Simpson directed the St Augustine counsel,1.0
arc_apex,A fight for racial equality in Florida,Simpson,Tobias Simon,associated_with,arc:apex,kcl,person,person,False,False,discovered_discovered,0.75,second_pass,20,second_pass_doc_01_chunk_0020,"Simon told the judge that King himself graciously preferred Harris to simply recant his perjured testimony in open court, and Simpson agreed",0.0
arc_apex,A fight for racial equality in Florida,Southern Christian Leadership Conference,Birmingham,organised,arc:apex,kcl,organisation,place,True,False,seed_discovered,0.75,second_pass,1,second_pass_doc_01_chunk_0001,"As in Birmingham, as in Selma, the SCLC chose wisely",1.0
arc_apex,A fight for racial equality in Florida,Southern Christian Leadership Conference,Selma,organised,arc:apex,kcl,organisation,place,True,False,seed_discovered,0.75,second_pass,1,second_pass_doc_01_chunk_0001,"As in Birmingham, as in Selma, the SCLC chose wisely",1.0
arc_apex,A fight for racial equality in Florida,Southern Christian Leadership Conference,St Augustine,associated_with,arc:apex,kcl,organisation,place,True,False,seed_discovered,0.8357142857142856,second_pass,13; 14; 19; 20; 23; 24; 25,second_pass_doc_01_chunk_0013; second_pass_doc_01_chunk_0014; second_pass_doc_01_chunk_0019; second_pass_doc_01_chunk_0020; second_pass_doc_01_chunk_0023; second_pass_doc_01_chunk_0024; second_pass_doc_01_chunk_0025,Smathers... suspected that the SCLC faked the attack || Taylor Branch's Pillar of Fire (1998) provides a masterly account of the SCLC's operations in St Augustine. || a biracial group that included Reverend Andrew Young of the SCLC || he filed lawsuits on behalf of the SCLC because biracial negotiations broke down. He targeted fifteen motels and restaurants in the St Augustine area || the SCLC protests were nonviolent || the SCLC sought to sustain the momentum by organizing night marches || the Southern Christian Leadership Conference (SCLC) campaigned there to desegregate dining and lodging facilities,0.5714285714285714
arc_apex,A fight for racial equality in Florida,Southern Christian Leadership Conference,St Augustine,connected_to,arc:apex,kcl,organisation,place,True,False,seed_discovered,0.8,second_pass,17,second_pass_doc_01_chunk_0017,the SCLC campaign,1.0
arc_apex,A fight for racial equality in Florida,Southern Christian Leadership Conference,St Augustine,organised,arc:apex,kcl,organisation,place,True,False,seed_discovered,0.9,second_pass,1,second_pass_doc_01_chunk_0001,"the Southern Christian Leadership Conference under Martin Luther King, Jr picked St Augustine to highlight the persistence of legally enforced white supremacy",1.0
arc_apex,A fight for racial equality in Florida,Southern Christian Leadership Conference,St Augustine,participated_in,arc:apex,kcl,organisation,place,True,False,seed_discovered,0.9,second_pass,15,second_pass_doc_01_chunk_0015,Blacks and other Whites from elsewhere joined them and the SCLC demonstrators,1.0
arc_apex,A fight for racial equality in Florida,Southern Christian Leadership Conference,Tobias Simon,associated_with,arc:apex,kcl,organisation,person,True,False,seed_discovered,0.875,second_pass,17; 19,second_pass_doc_01_chunk_0017; second_pass_doc_01_chunk_0019,"Simon, who worked pro bono for the SCLC || Simpson nevertheless ruled against the SCLC appeal",1.0
arc_apex,A fight for racial equality in Florida,Southern Christian Leadership Conference,night marches,organised,arc:apex,kcl,organisation,campaign,True,False,seed_discovered,0.95,second_pass,19,second_pass_prompt_fix_doc_01_chunk_0019,the SCLC sought to sustain the momentum by organizing night marches,1.0
arc_apex,A fight for racial equality in Florida,St Augustine,Florida,located_in,arc:apex,kcl,place,place,False,False,discovered_discovered,0.925,second_pass,2; 15,second_pass_doc_01_chunk_0002; second_pass_doc_01_chunk_0015,St Augustine (Florida) || charged with violation of Florida's undesirable visitor and trespass laws,0.5
arc_apex,A fight for racial equality in Florida,St Augustine,Tobias Simon,associated_with,arc:apex,kcl,place,person,False,False,discovered_discovered,0.775,second_pass,16; 20; 21; 25,second_pass_doc_01_chunk_0016; second_pass_doc_01_chunk_0020; second_pass_doc_01_chunk_0021; second_pass_doc_01_chunk_0025,Kunstler and Simon filed their removal petitions to get their clients released on reasonable bail || Simon quickly challenged the ban || Toby Simon and civil rights attorney William M. Kunstler filed petitions for writs of habeas corpus on her behalf || Yet nowhere does the author mention either Toby Simon or Alvin Bronstein.,1.0
arc_apex,A fight for racial equality in Florida,Tobias Simon,Miami,located_in,arc:apex,kcl,person,place,False,False,discovered_discovered,0.8875,second_pass,1; 9; 10; 12,second_pass_doc_01_chunk_0001; second_pass_doc_01_chunk_0009; second_pass_doc_01_chunk_0010; second_pass_doc_01_chunk_0012,"In that year he drove to Miami, where an uncle gave him US$5,000 to start his own practice. || Simon and two other Miami attorneys || one Miami attorney was ubiquitous || the Miami-based Tobias Simon",1.0
arc_apex,A fight for racial equality in Florida,Tobias Simon,Southern Christian Leadership Conference,associated_with,arc:apex,kcl,person,organisation,False,True,seed_discovered,0.95,second_pass,18,second_pass_doc_01_chunk_0018,"Simon, who worked pro bono for the SCLC",1.0
arc_apex,A fight for racial equality in Florida,Tobias Simon,St Augustine,participated_in,arc:apex,kcl,person,place,False,False,discovered_discovered,0.85,second_pass,1,second_pass_doc_01_chunk_0001,"drew in the Miami-based Tobias Simon, a key lawyer for progressive causes in the state",1.0
arc_apex,A fight for racial equality in Florida,lunch counter sit-ins,Miami,located_in,arc:apex,kcl,movement,place,False,False,discovered_discovered,0.9,second_pass,6,second_pass_doc_01_chunk_0006,sat down at a Woolworth's lunch counter in downtown Miami,1.0
arc_apex,A fight for racial equality in Florida,night marches,St Augustine,located_in,arc:apex,kcl,campaign,place,False,False,discovered_discovered,0.85,second_pass,19; 20,second_pass_prompt_fix_doc_01_chunk_0019; second_pass_prompt_fix_doc_01_chunk_0020,significant demonstrations were planned for St Augustine... banned night marches || the SCLC sought to sustain the momentum by organizing night marches,0.5
arc_apex,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,Bayard Rustin,Black Power,opposed_to,arc:apex,kcl,person,movement,True,False,seed_discovered,0.9,second_pass,10,second_pass_doc_02_chunk_0010,a fierce critic of Black Power and Black Nationalism,1.0
arc_apex,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,Bayard Rustin,Civil Rights Movement,associated_with,arc:apex,kcl,person,movement,True,False,seed_discovered,0.7,second_pass,1,second_pass_doc_02_chunk_0001,Jerald Podair (2008). Bayard Rustin: American Dreamer,1.0
arc_apex,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,Bayard Rustin,Freedom Budget for All Americans,associated_with,arc:apex,kcl,person,publication,True,False,seed_discovered,0.85,second_pass,10,second_pass_doc_02_chunk_0010,He championed a Freedom Budget for All Americans,1.0
arc_apex,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,Bayard Rustin,New York City school strikes,associated_with,arc:apex,kcl,person,event,True,False,seed_discovered,0.8,second_pass,10,second_pass_doc_02_chunk_0010,"During the New York City school strikes of the late 1960s, Rustin's steadfast belief in strong labor unions put him on the side of the mostly white United Federation of Teachers",1.0
arc_apex,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,Bayard Rustin,United Federation of Teachers,associated_with,arc:apex,kcl,person,organisation,True,False,seed_discovered,0.825,second_pass,10; 11,second_pass_doc_02_chunk_0010; second_pass_doc_02_chunk_0011,bor unions put him on the side of the mostly white United Federation of Teachers and against the mostly black opponents of the union || put him on the side of the mostly white United Federation of Teachers,1.0
arc_apex,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,Birmingham,Civil Rights Movement,connected_to,arc:apex,kcl,place,movement,False,False,discovered_discovered,0.85,second_pass,1; 2,second_pass_doc_02_chunk_0001; second_pass_doc_02_chunk_0002,"well-known southern cities, such as Birmingham, Montgomery, Jackson, and Memphis as important sites for civil rights movement history",1.0
arc_apex,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,Black Panther Party,Black Power,associated_with,arc:apex,kcl,organisation,movement,False,False,discovered_discovered,0.7,second_pass,12,second_pass_doc_02_chunk_0012,"Civil Rights, Black Power, and the Black Panthers in New Haven",1.0
arc_apex,Brian-Purnell_Freedom-North-Studies-the-Long-Civil-Rights-Movement-and-Twentieth-Century-Liberalism-in-American-Cities,Black Panther Party,Chicago,associated_with,arc:apex,kcl,organisation,place,False,False,discovered_discovered,0.7,second_pass,12,second_pass_doc_02_chunk_0012,The Illinois Chapter of the Black Panther Party and Racial Coalition Politics in Chicago,1.0
